ItemType,Classification,Name,Extension,RelativePath,FullPath,SizeBytes,SizeMB,Created,LastModified
File,UNCLASSIFIED,INSTALL.txt,.txt,vision2030_certified_updater\INSTALL.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_certified_updater\INSTALL.txt,220,0.0002,2026-08-17 17:40:38,2026-08-17 17:40:38
File,PYTHON SCRIPT,run_vision2030.py,.py,vision2030_certified_updater\run_vision2030.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_certified_updater\run_vision2030.py,12863,0.0123,2026-08-17 17:40:38,2026-08-17 17:40:38
Directory,Directory,vision2030_contemporary_site,,vision2030_contemporary_site,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site,0,0.0,2026-08-17 12:40:49,2026-08-17 15:01:12
File,ARCHIVE OR PACKAGE,vision2030_contemporary_site.zip,.zip,vision2030_contemporary_site.zip,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site.zip,364471,0.3476,2026-08-17 12:40:37,2026-08-17 12:40:31
File,ONE-TIME PATCH SCRIPT,apply_reset_and_reporting_labels.py,.py,vision2030_contemporary_site\apply_reset_and_reporting_labels.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\apply_reset_and_reporting_labels.py,6029,0.0057,2026-08-17 14:58:21,2026-08-17 14:58:14
File,HTML FILE,briefing.html,.html,vision2030_contemporary_site\briefing.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\briefing.html,3326482,3.1724,2026-08-17 15:01:12,2026-08-17 15:01:12
File,UNCLASSIFIED,briefing_selector_sections.txt,.txt,vision2030_contemporary_site\briefing_selector_sections.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\briefing_selector_sections.txt,230091,0.2194,2026-08-17 14:34:56,2026-08-17 14:34:56
File,HTML FILE,data_explorer.html,.html,vision2030_contemporary_site\data_explorer.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\data_explorer.html,3359060,3.2034,2026-08-17 15:01:12,2026-08-17 15:01:12
Directory,Directory,generated,,vision2030_contemporary_site\generated,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\generated,0,0.0,2026-08-17 14:09:01,2026-08-17 14:09:23
File,GENERATED WEBSITE ARTIFACT,scope_metric_audit.csv,.csv,vision2030_contemporary_site\generated\scope_metric_audit.csv,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\generated\scope_metric_audit.csv,1160706,1.1069,2026-08-17 14:09:01,2026-08-17 15:01:12
