Workbook Sheet,Workbook Row,Metric,Level,Location Type,Location,Original Division,Final Division,Report Geography,Mapping Status,Confidence,Matched Evidence,Hierarchy Path
Team,2694,Total Turnover (Rolling 12),2,Cost Center,110843 RHBSRV OP Ctr Rehab Admin Lake Mary,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110843 RHBSRV OP Ctr Rehab Admin Lake Mary
Team,2695,Total Turnover (Rolling 12),2,Cost Center,110844 RHBSRV OP Ctr Rehab Admin Innovation Tower,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110844 RHBSRV OP Ctr Rehab Admin Innovation Tower
Team,2696,Total Turnover (Rolling 12),2,Cost Center,110850 RHBSRV OP Ctr Massage Therapy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110850 RHBSRV OP Ctr Massage Therapy
Team,2697,Total Turnover (Rolling 12),2,Cost Center,110853 RHBSRV OP Ctr Occupational Therapy Celebration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Celebration,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110853 RHBSRV OP Ctr Occupational Therapy Celebration
Team,2698,Total Turnover (Rolling 12),2,Cost Center,110854 RHBSRV OP Ctr Occupational Therapy East,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110854 RHBSRV OP Ctr Occupational Therapy East
Team,2699,Total Turnover (Rolling 12),2,Cost Center,110856 RHBSRV OP Ctr Occupational Therapy Kissimmee,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Kissimmee,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110856 RHBSRV OP Ctr Occupational Therapy Kissimmee
Team,2700,Total Turnover (Rolling 12),2,Cost Center,110857 RHBSRV OP Ctr Occupational Therapy Lake Mary,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110857 RHBSRV OP Ctr Occupational Therapy Lake Mary
Team,2701,Total Turnover (Rolling 12),2,Cost Center,110862 RHBSRV OP Ctr Occupational Therapy Orl Sportsplex,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110862 RHBSRV OP Ctr Occupational Therapy Orl Sportsplex
Team,2702,Total Turnover (Rolling 12),2,Cost Center,110866 RHBSRV OP Ctr Occupational Therapy PC Med Plaza,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110866 RHBSRV OP Ctr Occupational Therapy PC Med Plaza
Team,2703,Total Turnover (Rolling 12),2,Cost Center,110870 RHBSRV OP Ctr Occupational Therapy NSB Campus,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110870 RHBSRV OP Ctr Occupational Therapy NSB Campus
Team,2704,Total Turnover (Rolling 12),2,Cost Center,110877 RHBSRV OP Ctr Occupational Therapy HOF,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110877 RHBSRV OP Ctr Occupational Therapy HOF
