Row ID,Business Area,Metric,Matched Division,Source Division,Location Type,Location,Original Division,Report Geography,Mapping Status,Mapping Confidence,Mapping Evidence,Value,Local Goal,Derived Goal Status,Status Basis,Source Variance,Source Variance Color,YTD,Data As Of
LEARNING::31,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1010 AdventHealth Durand,MSD 2,N/A,N/A,N/A,N/A,87.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::32,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1011 Texas Health Medical Associates,MSD 2,N/A,N/A,N/A,N/A,92.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::33,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1012 Adventist Hlth System Texas Inc,MSD 2,N/A,N/A,N/A,N/A,95.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.2%,green,N/A,Mar 2026
LEARNING::34,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1013 Texas Health Huguley Hospital,MSD 2,N/A,N/A,N/A,N/A,86.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::35,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1014 Texas Health Huguley Surgery Center,MSD 2,N/A,N/A,N/A,N/A,97.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.2%,green,N/A,Mar 2026
LEARNING::36,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1015 Texas Health Hospital Mansfield,MSD 2,N/A,N/A,N/A,N/A,85.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::37,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1016 AdventHealth Central Texas,MSD 2,N/A,N/A,N/A,N/A,84.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::38,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1017 AdventHealth Rollins Brook,MSD 2,N/A,N/A,N/A,N/A,89.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::39,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1018 AdventHealth Medical Group Central Texas,MSD 2,N/A,N/A,N/A,N/A,88.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::40,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1021 Family Medicine Rural Health Clinic Lampasas,MSD 2,N/A,N/A,N/A,N/A,73.2,≥ 81,missed,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::41,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1022 AdventHealth Gordon,MSD 1,N/A,N/A,N/A,N/A,85.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::42,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1023 AdventHealth Murray,MSD 1,N/A,N/A,N/A,N/A,84.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::43,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1024 AdventHealth Redmond,MSD 1,N/A,N/A,N/A,N/A,85.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::44,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1025 AdventHealth Medical Group Georgia,MSD 1,N/A,N/A,N/A,N/A,85.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::45,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1027 Surgicare of Rome Inc,MSD 1,N/A,N/A,N/A,N/A,87.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::46,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1029 AdventHealth Porter,MSD 1,N/A,N/A,N/A,N/A,84.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::47,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1030 AdventHealth Avista,MSD 1,N/A,N/A,N/A,N/A,85.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::48,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1031 AdventHealth Littleton,MSD 1,N/A,N/A,N/A,N/A,80.8,≥ 81,missed,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::49,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1032 AdventHealth Parker,MSD 1,N/A,N/A,N/A,N/A,84.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::50,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1033 AdventHealth Castle Rock,MSD 1,N/A,N/A,N/A,N/A,82.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::51,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1038 AdventHealth Shawnee Mission,MSD 2,N/A,N/A,N/A,N/A,84.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::52,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1039 AdventHealth South Overland Park,MSD 2,N/A,N/A,N/A,N/A,84.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::53,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1041 AdventHealth Surgery Center Prairie Star,MSD 2,N/A,N/A,N/A,N/A,93.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
