sheet,row,metric,level,location_type,location,real_division,rough_division,recommended_division,confidence,mapping_status,evidence,hierarchy_path,report_support,real_value,rough_value,goal,data_as_of,changed_fields
Team,259,Forecast and Hire,2,FRL,1000375 Well65 Plus,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1094 AdventHealth Well 65 Plus > 1000375 Well65 Plus,Canonical match to a division heading in the June report,21,21,"≥ 12,176",Jul 2026,Division
Team,260,Forecast and Hire,2,FRL,1000382 PHSO,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1096 Florida Hospital Healthcare System Inc > 1000382 PHSO,Canonical match to a division heading in the June report,21,21,"≥ 12,176",Jul 2026,Division
Team,261,Forecast and Hire,2,FRL,1000389 AHMG CFD PSA Lite,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,low,ORIGINAL_DIVISION_PRESERVED,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000389 AHMG CFD PSA Lite,Preserved or unresolved; no report-backed conversion.,28,28,"≥ 12,176",Jul 2026,none
Team,262,Forecast and Hire,2,FRL,1000390 AHMG CFD Tampa,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Tampa,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000390 AHMG CFD Tampa,Exact facility listed under division in June report,1,1,"≥ 12,176",Jul 2026,Division
Team,263,Forecast and Hire,2,FRL,1000393 Executive,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1189 AdventHealth Corporate Executive > 1000393 Executive,Preserved or unresolved; no report-backed conversion.,31,31,"≥ 12,176",Jul 2026,none
Team,264,Forecast and Hire,2,FRL,1000394 Polk,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,South East Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South East Region Cost Centers by Reporting Hierarchy > 1003 AdventHealth Polk > 1000394 Polk,Canonical match to a region grouping in the June report,28,28,"≥ 12,176",Jul 2026,Division
Team,265,Forecast and Hire,2,FRL,1000400 OSED CFD Poinciana,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000400 OSED CFD Poinciana,Exact facility listed under division in June report,12,12,"≥ 12,176",Jul 2026,Division
Team,266,Forecast and Hire,2,FRL,1000401 OSED Meadow Woods,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000401 OSED Meadow Woods,Exact facility listed under division in June report,8,8,"≥ 12,176",Jul 2026,Division
Team,267,Forecast and Hire,2,FRL,1000402 OSED CFD Sanford,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000402 OSED CFD Sanford,Exact facility listed under division in June report,1,1,"≥ 12,176",Jul 2026,Division
Team,268,Forecast and Hire,2,FRL,1000403 OSED CFD Ocoee,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000403 OSED CFD Ocoee,Exact facility listed under division in June report,25,25,"≥ 12,176",Jul 2026,Division
